"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"1","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.731","1","EXECUTED","9:f1fa75fa317f19c0c0135a3afee3b3b9","createTable tableName=sender_queue","","","4.24.0","()","",""
"3","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.744","2","EXECUTED","9:444833f968fe47950055d66f6ca7fcb8","addUniqueConstraint constraintName=uk_sender_payload, tableName=sender_queue","","","4.24.0","()","",""
"2","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.764","3","EXECUTED","9:6a4c94894ebe04b301d2e9b77589500e","createTable tableName=refresh_tokens; createIndex indexName=idx_refresh_token_token, tableName=refresh_tokens; createIndex indexName=idx_refresh_token_username, tableName=refresh_tokens","","","4.24.0","()","",""
"4","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.791","4","EXECUTED","9:03285b2aa2c1ec3c43227cfa0830066c","createTable tableName=external_environment; createTable tableName=external_location; addForeignKeyConstraint baseTableName=external_location, constraintName=fk_env_loc_env, referencedTableName=external_environment; createIndex indexName=idx_loc_env, ta...","","","4.24.0","()","",""
"5","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.813","5","EXECUTED","9:746f25098644b07fb5718afd8d2e0933","addColumn tableName=external_location","","","4.24.0","()","",""
"6","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.829","6","EXECUTED","9:debb2eaefef1e4fae525373bc3979f74","sql","Backfill site column using first token of label (uppercase). Separate SQL for H2 and Oracle.","","4.24.0","()","",""
"6a-create-load-session","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.849","7","EXECUTED","9:653f786aa279e9d4ca3c8e3d29d10c31","createTable tableName=load_session","","","4.24.0","()","",""
"6a-create-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.869","8","EXECUTED","9:6a31ca73869481410029b3e89fa00d8b","createTable tableName=load_session_payload","","","4.24.0","()","",""
"6a-add-fk-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.882","9","EXECUTED","9:0033234fe31b4fd78d31d71ab7d5b78d","addForeignKeyConstraint baseTableName=load_session_payload, constraintName=fk_lsp_session, referencedTableName=load_session","","","4.24.0","()","",""
"7","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.896","10","EXECUTED","9:86b3746d23570f30653baf7099a1d007","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"6b-oracle-sequences-triggers-v2","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:00:48.923","11","EXECUTED","9:b50d50849b2f49872dc70371eb942bd4","createSequence sequenceName=app_seq_load_session; createSequence sequenceName=app_seq_load_session_payload; sql; sql","","","4.24.0","()","",""
"2025-09-27-1","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-11T03:00:48.94","12","EXECUTED","9:a140c883ceb9632ddc1fb19c215067ee","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"2025-09-27-2","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-11T03:00:48.953","13","EXECUTED","9:40a8c561088b668676b7c31821b5e64b","createIndex indexName=idx_load_session_payload_session_status, tableName=load_session_payload","","","4.24.0","()","",""
"2025-10-04-1-dedupe-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-11T03:00:48.962","14","EXECUTED","9:2b7a83de95906477bc883e65c62b85c7","sql","Dedupe existing load_session_payload rows keeping lowest id per (session_id, payload_id)","","4.24.0","()","",""
"2025-10-04-2-add-global-payload-id","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-11T03:00:48.971","15","EXECUTED","9:3189ca3b71e075d5bd64180790c0ddc3","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"2025-10-04-3-add-unique-constraint-session-payload","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-11T03:00:48.981","16","EXECUTED","9:c9174d02c692aa9a4212cbf1414945a0","addUniqueConstraint constraintName=uk_lsp_sess_pl, tableName=load_session_payload","","","4.24.0","()","",""
"2025-09-27-1b","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-11T03:04:26.871","17","EXECUTED","9:ff0cccfd3a5f2d2ac5e1052762d13517","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"2025-09-27-1c","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-11T03:04:26.895","18","EXECUTED","9:b6acd98580c6f6146003b162560438c7","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"6b-oracle-seq-load-session","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:15:01.61","19","EXECUTED","9:45ad956e49f64a09eac04a70bf9201ec","createSequence sequenceName=app_seq_load_session","","","4.24.0","()","",""
"6b-oracle-seq-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:15:01.623","20","EXECUTED","9:a0d8759b0c3e76e994ec84ce443ece85","createSequence sequenceName=app_seq_load_session_payload","","","4.24.0","()","",""
"6b-oracle-trg-load-session","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:15:01.644","21","EXECUTED","9:918a597fe3ce728217d0b22c53d3eb14","sql","","","4.24.0","()","",""
"6b-oracle-trg-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-11T03:15:01.66","22","EXECUTED","9:8864a63a2c4dbe06c7360c942a1d3b7c","sql",,"","4.24.0","()","",
